시군구,단지명,전용면적(㎡),거래금액(만원),층,건축년도,도로명
충청북도 청주시 흥덕구 복대동,덕성,22.68,"2,730",11,1991,가로수로1379번길 83
충청북도 청주시 흥덕구 복대동,대원,59.89,"16,850",14,1999,죽천로146번길 6
경기도 부천시 소사구 송내동,건우3차,43.56,"15,300",5,1986,경인로9번가길 11
경기도 부천시 소사구 송내동,우성,84.91,"49,300",9,1990,경인로29번길 32
경기도 부천시 소사구 옥길동,옥길센트리뷰,84.93,"64,000",3,2017,옥길로 55
경상남도 김해시 외동,내외대동한마음,59.8,"12,500",2,1995,함박로101번길 19
경상남도 김해시 삼계동,김해장신대역양우내안애,65.5418,"16,800",12,2013,김해대로 1868
경상남도 김해시 삼계동,김해장신대역양우내안애,65.5418,"16,800",12,2013,김해대로 1868
경기도 광명시 광명동,광명푸르지오포레나,84.8825,"109,500",16,2023,새터로 90
경상남도 사천시 정동면 풍정리,송보파인빌,59.8956,"7,100",7,2001,여옥길 36
경기도 광명시 철산동,철산한신,89.455,"69,000",15,1992,디지털로 64
경상남도 통영시 광도면 안정리,현대성우오스타1단지,84.94,"14,000",18,2010,안정1길 53
경기도 광명시 하안동,주공11,41.3,"41,500",13,1990,하안로 318
경기도 광명시 하안동,주공11,41.3,"41,500",13,1990,하안로 318
경기도 광명시 소하동,광명신촌휴먼시아1단지,84.47,"80,000",13,2010,신촌로 49
경상남도 진주시 충무공동,진주혁신도시중흥에스-클래스더프라임,84.9912,"56,750",2,2019,소호로19번길 11
경상남도 진주시 충무공동,진주혁신코오롱하늘채,84.95,"37,750",2,2014,사들로 126
경기도 평택시 서정동,주공3,39.6,"14,500",1,1988,서정남로 183
경기도 평택시 장당동,한양,84.96,"18,800",4,1994,송탄로 69-8
경상남도 진주시 가좌동,주공그린빌,59.27,"20,800",12,2005,내동로348번길 10
경상남도 진주시 가좌동,가좌주공1차,49.94,"16,000",4,1993,가호로 26
경기도 안양시 동안구 호계동,평촌대성유니드,45.7771,"41,000",14,2019,안양천동로126번길 26
경기도 평택시 독곡동,삼익,84.75,"20,500",8,1994,경기대로 1578
경상남도 진주시 평거동,평거하우스토리,108.57,"42,000",7,2009,진양호로239번길 13
경상남도 진주시 초전동,이지더원,84.9614,"50,000",20,2018,초장로 120
경상남도 진주시 하대동,현대,101.97,"25,750",7,1996,하대로 142
경상남도 진주시 하대동,현대,84.93,"21,500",11,1996,하대로 142
경상남도 진주시 상대동,동명,59.8092,"14,800",10,2007,돗골로 165
경상남도 진주시 상봉동,상봉2,53.85,"6,000",1,1986,진주성로147번길 10
경상남도 진주시 강남동,진주강남동일동미라주,109.9586,"45,500",14,2021,진주대로891번길 56
경상남도 진주시 주약동,현대,102.68,"31,800",10,2000,진주대로815번길 11
경기도 평택시 동삭동,평택센트럴자이 5단지,98.7607,"53,200",6,2018,상서재로 80
경기도 평택시 동삭동,힐스테이트지제역,74.9872,"54,900",10,2020,지제동삭1로 91
경상남도 창원시 진해구 마천동,남명플럼빌리지,59.8761,"11,500",3,2004,웅동로 70
경상남도 창원시 진해구 장천동,창원한신휴플러스오션파크,84.986,"32,000",21,2016,행암로 5
경상남도 창원시 진해구 풍호동,창원마린푸르지오1단지,84.9735,"43,000",8,2015,천자로 386
경기도 평택시 용이동,e편한세상비전센터포레,74.9966,"40,700",15,2022,용죽1로 83
경상남도 창원시 진해구 자은동,창원자은에일린의뜰,84.94,"39,000",12,2017,냉천로 235
경상남도 창원시 진해구 경화동,씨스위트빌,84.504,"12,850",3,2003,진해대로636번길 16
경상남도 창원시 마산회원구 내서읍 삼계리,THE-푸른,49.62,"9,900",14,1998,삼계10길 22
경기도 평택시 포승읍 내기리,명지미래힐2단지,84.65,"14,800",6,2004,승학동길 25
경기도 평택시 진위면 견산리,한승아파트,34.4,"7,500",8,2000,동부대로 41
경상남도 창원시 마산회원구 구암동,구암대동,84.99,"18,900",1,1998,구암남16길 54
경상남도 창원시 마산회원구 구암동,구암대동,84.99,"18,900",1,1998,구암남16길 54
경상남도 창원시 마산합포구 현동,중흥S클래스프라디움3차,84.9841,"27,500",3,2017,현동1길 8
경기도 동두천시 보산동,보산주공아파트,39.69,"5,000",3,1990,동광로154번길 15
경상남도 창원시 마산합포구 월영동,마린애시앙부영,84.9463,"35,400",28,2019,가포순환로 33
경상남도 창원시 마산합포구 월영동,월영동아2,59.625,"14,000",7,1998,월영마을로 29
경상남도 창원시 마산합포구 월영동,월영동아,84.64,"18,000",19,1998,월영남로 43
경상남도 창원시 마산합포구 신포동1가,새롬미리내아파트,119.2142,"24,800",19,2003,동서동3길 39
경기도 안산시 상록구 본오동,신안1,68.79,"31,400",7,1993,반석로 44
경상남도 창원시 마산합포구 교방동,무학산벽산블루밍1단지,84.9308,"27,700",7,2009,교방시장2길 9
경상남도 창원시 성산구 용호동,용지아이파크,84.7227,"94,000",3,2017,원이대로579번길 13
경기도 안산시 단원구 고잔동,푸르지오1차,71.1837,"56,000",5,2001,광덕동로 26
경기도 안산시 단원구 원곡동,안산푸르지오브리파크,49.7492,"43,500",8,2023,라성로 15
경기도 안산시 단원구 원곡동,안산푸르지오브리파크,59.7615,"51,600",5,2023,라성로 15
경기도 안산시 단원구 원곡동,안산푸르지오브리파크,49.7492,"47,800",36,2023,라성로 15
경상남도 창원시 성산구 상남동,성원,84.91,"33,800",24,1994,원이대로 774
경상남도 창원시 성산구 상남동,성원,49.98,"14,500",9,1994,원이대로 774
경기도 안산시 단원구 선부동,e편한세상선부파크플레이스1차,59.98,"49,500",11,2018,선부광장남로 63
경기도 안산시 단원구 선부동,공작한양(고층),84.88,"38,000",6,1992,선부로 166
경기도 고양시 덕양구 도내동,고양원흥동일스위트,84.9832,"84,000",14,2018,도래울1로 80
경상남도 창원시 성산구 대방동,대동,49.94,"16,500",16,1992,대정로 142
경기도 고양시 덕양구 관산동,새서울,56.7,"21,800",2,1983,통일로754번길 16
경상남도 창원시 의창구 북면 신촌리,대호,59.83,"7,000",13,1998,천주로 1053
경기도 고양시 덕양구 화정동,달빛마을(경남),84.9,"51,300",15,1995,화중로 219
경기도 고양시 덕양구 화정동,달빛마을3단지,84.95,"46,000",7,1995,화수로 22
경상남도 창원시 의창구 북면 감계리,창원감계힐스테이트2차,101.3891,"45,000",16,2017,감계로 341
경상남도 창원시 의창구 북면 감계리,창원감계힐스테이트4차,68.9762,"23,200",19,2017,감계로 233
경상남도 창원시 의창구 팔용동,힐스테이트아티움시티,84.8605,"55,000",37,2020,창원대로397번길 11
경상남도 창원시 의창구 도계동,목화맨션,102.86,"16,800",1,1990,하남천서길 3
경상남도 창원시 의창구 서상동,중동대동다숲,84.9338,"37,800",4,2005,팔용로 512
경기도 고양시 일산동구 중산동,산들마을1(대림),115.2217,"38,000",13,2004,중산로 160-10
경상북도 예천군 호명읍 산합리,경북도청신도시우방아이유쉘센텀,84.949,"24,700",15,2017,검무로 27
경상북도 예천군 예천읍 대심리,장미마을,59.64,"5,500",3,1997,대심1길 19
경상북도 칠곡군 석적읍 남율리,효성해링턴플레이스(3단지),59.9953,"13,000",8,2015,남율로9길 81
경기도 부천시 원미구 도당동,성원,49.73,"35,000",1,1984,부천로245번길 44
경기도 고양시 일산서구 일산동,에이스11차,84.87,"31,500",12,1996,탄중로 523
경상북도 성주군 성주읍 경산리,신성강변타운,47.8767,"11,300",7,2001,성밖숲길 43
경상북도 청송군 진보면 이촌리,청솔타운,37.35,"2,500",6,1998,진보로 55
경상북도 의성군 의성읍 상리리,대동1,70.32,"9,400",2,1990,대동길 10
경기도 고양시 일산서구 주엽동,강선마을14단지두산,69.08,"50,500",7,1994,강선로 33
경상북도 경산시 압량읍 신대리,이편한세상경산신대아파트,59.9764,"21,000",14,2015,압독로 38-10
경기도 고양시 일산서구 탄현동,탄현마을(삼익),59.97,"24,200",4,1994,현중로 33
경상북도 경산시 중방동,중방e-편한세상1단지,101.49,"38,800",3,2010,대학로32길 12
경상북도 경산시 계양동,초원맘모스,44.46,"5,800",6,1990,원효로22길 22
경기도 구리시 갈매동,이룸넘버원리치안,14.98,"8,500",3,2017,갈매중앙로 70
경기도 구리시 갈매동,구리갈매푸르지오,84.5889,"79,800",18,2017,갈매중앙로 16
경상북도 경산시 정평동,현대,84.93,"19,900",12,1992,강변서로51길 15-6
경상북도 경산시 중산동,펜타힐즈더샵1차,63.4751,"36,000",30,2017,펜타힐즈2로 60
경상북도 경산시 중산동,경남신성,116.95,"20,000",6,1996,성암로21길 69
경상북도 경산시 옥산동,창신성암타운,53.82,"7,000",13,1993,삼성현로31길 12
경상북도 경산시 백천동,부영초록마을,84.9751,"15,000",5,2004,백천동로 5
경상북도 문경시 모전동,문경코아루,73.768,"35,800",6,2014,당교6길 25
경기도 구리시 토평동,상록,84.404,"85,000",14,2002,장자대로111번길 56
경상북도 상주시 신봉동,동아,84.83,"18,500",13,1991,상산로 147
경상북도 상주시 낙양동,명지1차,59.74,"6,900",1,1994,경상대로 2930-10
경상북도 상주시 냉림동,주공1,59.3,"16,000",1,1984,상산로 366
경기도 남양주시 호평동,두산알프하임,84.9558,"40,000",2,2021,백봉로 32
경상북도 영천시 문외동,삼산무지개타운,133.52,"15,300",4,1993,청산길 29
경기도 남양주시 금곡동,신성푸른솔,59.964,"23,200",9,1997,홍유릉로248번길 42
경기도 남양주시 별내동,대원칸타빌,107.65,"80,000",15,2012,순화궁로 384
경상북도 영주시 영주동,현대강변타운,84.675,"13,500",3,1990,선비로 215
경기도 남양주시 다산동,경남아너스빌,75.83,"56,500",11,2008,가운로2길 111
경기도 남양주시 다산동,e편한세상 다산,84.96,"85,000",12,2017,다산중앙로82번길 15
경기도 남양주시 다산동,다산푸르지오,51.8728,"60,800",26,2021,다산중앙로82번안길 74
경기도 남양주시 와부읍 덕소리,진도,84.91,"48,000",12,1998,덕소로 118-7
경상북도 구미시 고아읍 문성리,문성파크자이,84.9522,"31,000",6,2017,문성로 20
경상북도 구미시 고아읍 원호리,구미고아세영리첼레이크뷰,71.0964,"23,500",17,2016,들성로 171-21
경기도 남양주시 진접읍 장현리,정광산호,84.905,"24,950",19,1994,금강로 1530-13
경상북도 구미시 옥계동,옥계현진에버빌엠파이어,103.51,"31,500",13,2009,옥계북로 69
경기도 남양주시 진접읍 부평리,더샵남양주퍼스트시티,59.97,"36,000",9,2021,부평로48번길 140
경기도 남양주시 진접읍 부평리,진접스타힐스,74.9959,"39,600",16,2022,부평로48번길 110
경상북도 구미시 옥계동,옥계대우,84.954,"13,400",5,2001,산호대로25길 5
경기도 남양주시 진접읍 금곡리,부영사랑으로,84.9908,"34,000",1,2009,해밀예당3로 38
경기도 남양주시 진접읍 금곡리,진접삼부르네상스더퍼스트,59.8487,"35,200",13,2023,주곡로 133
경상북도 구미시 인의동,구미청구하이츠,84.94,"13,900",9,2000,인동19길 36-11
경상북도 구미시 구평동,구미구평푸르지오,84.9289,"20,800",11,2003,인동36길 31
경상북도 구미시 오태동,대동타운3차(101동102동),59.62,"7,000",4,1996,금오대로14길 12
경상북도 구미시 상모동,신세계타운2단지,59.99,"9,300",9,1999,상사서로 17
경상북도 구미시 사곡동,e편한세상금오파크,84.8822,"33,800",4,2020,새마을로 150
경기도 남양주시 퇴계원읍 퇴계원리,쌍용,84.579,"43,000",7,2002,도제원로 68
경기도 오산시 원동,대우푸르지오,84.557,"27,200",13,2005,남부대로 411-15
경상북도 안동시 안기동,우성,84.97,"14,500",8,1991,영남길 32
경기도 오산시 양산동,오산세마e편한세상,101.956,"42,700",14,2010,양산로 460
경기도 오산시 세교동,세마역에듀파크,59.55,"34,500",11,2010,수목원로 577-15
경상북도 안동시 용상동,상일주택,76.17,"7,000",1,1989,중들6길 24
경상북도 김천시 덕곡동,김천덕곡월드메르디앙,84.7811,"20,600",4,2012,영남대로 2040-20
경기도 시흥시 은행동,은계브리즈힐,74.91,"52,000",8,2019,은계중앙로 118
경상북도 김천시 신음동,현대2,77.715,"17,500",2,1999,시청로 42
경기도 시흥시 조남동,목감호반써밋더레이크,69.6356,"52,500",9,2017,목감남서로 38
경기도 시흥시 거모동,동운디오빌,83.1836,"25,000",10,2004,군자로 520
경기도 시흥시 거모동,일우,42.72,"12,000",2,1988,군자로492번길 14
경상북도 경주시 안강읍 산대리,오성그린,59.845,"4,600",11,1994,화전중앙길 54-7
경기도 시흥시 장현동,새재마을대동,59.85,"37,700",6,1999,시청로 59
경기도 시흥시 월곶동,알파시티,16.8,"4,550",7,2013,월곶중앙로30번길 31
경상북도 경주시 용강동,우주용강타운,65.79,"8,900",1,1993,승삼2길 18
경기도 시흥시 정왕동,호반써밋더프라임,59.7925,"35,600",3,2023,거북섬남로 77
경기도 시흥시 정왕동,미주,59.91,"25,800",10,1996,정왕신길로49번길 26
경기도 시흥시 정왕동,신동아,84.883,"30,200",7,1996,정왕대로27번길 9
경기도 시흥시 정왕동,신동아,84.883,"30,200",7,1996,정왕대로27번길 9
경기도 시흥시 정왕동,영남2,59.908,"22,000",1,1996,옥구천동로 420
경기도 시흥시 정왕동,영남3,59.908,"21,700",2,1996,역전로 353
경상북도 포항시 북구 흥해읍 이인리,삼도드림파크,59.73,"9,200",13,2004,달전로 365
경기도 시흥시 배곧동,한라비발디캠퍼스2차,84.8275,"54,500",16,2018,배곧1로 27-16
경상북도 포항시 북구 양덕동,양덕삼구트리니엔2차,84.9599,"24,000",11,2014,장량중앙로 40
경기도 군포시 당동,쌍용(873),125,"68,000",10,1998,용호2로 51
경상북도 포항시 북구 장성동,현진에버빌3단지,84.96,"18,000",4,2008,삼흥로69번길 6
경상북도 포항시 북구 두호동,제일우성2,28.08,"5,500",6,1996,삼흥로62번길 27-7
경상북도 포항시 북구 우현동,우현4차신동아파밀리에,128.93,"30,000",9,2008,우창로 40
경기도 군포시 산본동,묘향(롯데),101.8,"59,750",5,1993,고산로539번길 7-12
경상북도 포항시 북구 득량동,이동삼성,84.99,"15,000",2,2000,이동로 48-11
경상북도 포항시 남구 동해면 약전리,영남대자연맨션102~105동,48.93,"2,900",1,1990,일월로 139
경기도 군포시 금정동,율곡,58.46,"38,700",8,1994,오금로 43
경기도 군포시 금정동,율곡,58.65,"40,000",5,1994,오금로 43
경기도 군포시 금정동,충무주공2단지2차(873-2),51.59,"37,500",7,1993,산본로 299
경기도 군포시 금정동,퇴계주공(360~368동),39.87,"24,500",8,1995,광정로 25-20
경기도 군포시 금정동,퇴계주공(351~359동),42.75,"24,500",20,1993,광정로 25-20
경상북도 포항시 남구 연일읍 유강리,유강청구,134.99,"31,000",12,2000,유강길 28
경상북도 포항시 남구 대잠동,대잠그린파크명품,84.8202,"22,900",1,2005,대이로46번길 29
경상북도 포항시 남구 지곡동,"효자그린2차(현대,삼성그린APT)",84.97,"30,000",8,1998,지곡로 294
전라남도 무안군 삼향읍 남악리,남악신도시모아엘가2차,84.9418,"25,000",3,2013,남악4로34번길 8
전라남도 무안군 삼향읍 남악리,근화베아채,59.9368,"16,000",9,2008,남악4로82번길 31
경기도 하남시 창우동,부영,49.58,"35,000",13,1994,대청로 119
경기도 하남시 창우동,은행한신,135,"88,000",9,1994,대청로116번길 30
경기도 하남시 창우동,은행한신,135,"88,000",9,1994,대청로116번길 30
경기도 하남시 신장동,하남호반써밋에듀파크,59.8536,"82,000",2,2021,하남유니온로 10
경기도 하남시 신장동,에코타운(C블럭),98.61,"81,000",2,2004,하남대로802번길 111
경기도 하남시 신장동,해오름한국,59.91,"60,000",5,1996,대청로59번길 15
경기도 하남시 덕풍동,하남풍산아이파크(1단지),84.969,"86,500",5,2008,덕풍남로 11
경기도 하남시 덕풍동,라인,84.69,"57,000",13,1997,하남대로 895
전라남도 화순군 화순읍 삼천리,화순삼천한양립스아파트,81.8546,"32,800",12,2020,쌍충로 13-20
경기도 하남시 망월동,미사강변루나리움,84.99,"103,000",13,2015,아리수로 499
경기도 하남시 망월동,미사강변루나리움,84.99,"103,700",15,2015,아리수로 499
전라남도 담양군 담양읍 담빛리,담양양우내안애퍼스트힐1단지,84.9731,"28,400",7,2020,태왕3로 37
경기도 하남시 풍산동,미사강변더샵센트럴포레,93.182,"108,000",9,2017,미사강변대로 55
경기도 하남시 풍산동,미사강변브라운스톤엔에이치에프,59.9,"85,000",24,2018,미사강변동로 47
경기도 하남시 풍산동,미사강변브라운스톤엔에이치에프,84.93,"101,800",15,2018,미사강변동로 47
전라남도 광양시 광양읍 용강리,창덕에버빌1단지,84.76,"9,000",10,2001,용강1길 11
경기도 하남시 선동,미사강변리슈빌엔에이치에프,84.96,"98,000",20,2018,미사강변북로 25
전라남도 광양시 광영동,현대고층,75.8,"5,500",2,1991,광영로 141
전라남도 광양시 마동,광양스위트엠르네상스아파트,60.9651,"17,200",6,2021,눈소4길 37
경기도 용인시 처인구 김량장동,김량장동어울림,84.951,"39,000",2,2009,금령로13번길 13
전라남도 광양시 중동,성호2차(201~205동),39.86,"5,500",23,2003,광장로 70
경기도 용인시 처인구 역북동,서희스타힐스포레스트,59.9957,"38,200",7,2023,낙은로 100-31
전라남도 광양시 성황동,광양푸르지오더퍼스트,84.9856,"34,700",17,2021,성황수동로 22
전라남도 나주시 남평읍 동사리,양우내안애리버시티,74.9794,"18,400",16,2018,지석로 167
경기도 용인시 처인구 포곡읍 삼계리,재원(105동),82.08,"11,900",3,1996,백옥대로 1835-1
전라남도 순천시 서면 선평리,선평배들마을주공,51.95,"7,550",12,2001,배들이길 17
경기도 용인시 처인구 양지면 양지리,그린빌리지,123.93,"17,400",3,2002,양주로 79
경기도 용인시 처인구 양지면 양지리,용인양지세영리첼아파트,79.1675,"36,800",13,2023,양지로105번길 9
전라남도 순천시 해룡면 신대리,중흥에코시티8단지,84.9969,"46,350",17,2018,신대로 147
전라남도 순천시 해룡면 신대리,중흥에스-클래스6단지메가타운,59.9431,"22,300",1,2015,좌야로 135
전라남도 순천시 해룡면 신대리,중흥에스-클래스6단지메가타운,59.9431,"22,500",2,2015,좌야로 135
경기도 용인시 기흥구 상갈동,금화마을4단지주공그린빌,84.86,"56,000",8,2001,금화로58번길 10
전라남도 순천시 해룡면 신대리,중흥에스-클래스5단지,59.996,"22,400",24,2014,신대로 97
전라남도 순천시 해룡면 신대리,중흥에스-클래스2단지,84.9912,"35,700",10,2013,신대로 66
경기도 용인시 기흥구 보라동,현대모닝사이드,84.9037,"33,000",10,2004,사은로126번길 46
경기도 용인시 기흥구 서천동,센트럴파크원,84.9,"54,500",1,2012,서천서로 27
전라남도 순천시 풍덕동,한신,84.88,"13,800",6,1990,중앙초등길 132
경기도 용인시 기흥구 언남동,효성빌라(102동),162.88,"57,000",2,2005,언남로29번길 46
경기도 용인시 기흥구 언남동,장미마을삼성래미안2,59.85,"57,900",10,2003,구성로 90
경기도 부천시 원미구 중동,한라마을(주공3),59.93,"39,000",16,1996,도약로 106
경기도 용인시 기흥구 마북동,교동마을마북이편한세상,128.9718,"64,000",15,2009,마북로 210
전라남도 여수시 소라면 죽림리,죽림양우내안애아파트,74.6975,"36,000",15,2017,도원로 80
전라남도 여수시 봉계동,로얄골드빌,84.754,"17,000",10,2003,좌수영로 682-34
경기도 용인시 기흥구 중동,초당마을현진에버빌,126.169,"59,500",12,2006,동백중앙로 73
전라남도 여수시 소호동,프레지던트,84.869,"17,500",5,2002,소호7길 36
전라남도 여수시 학동,센트럴파크,29.015,"6,500",5,2014,시청동1길 29
전라남도 여수시 학동,신동아파밀리에,59.5923,"25,000",14,2008,무선로 50
전라남도 여수시 학동,신동아파밀리에,84.5752,"30,000",12,2008,무선로 50
전라남도 여수시 여서동,현대건설,84.94,"16,500",4,1993,여서로 134
경기도 용인시 수지구 풍덕천동,수지파크푸르지오,59.7939,"99,000",11,2019,풍덕천로171번길 9
전라남도 목포시 옥암동,코아루,84.9252,"17,000",3,2007,당가두로13번길 12
전라남도 목포시 옥암동,제일하이빌2,84.9597,"16,700",4,2002,신흥로 113
경기도 용인시 수지구 죽전동,죽전현대1차,84.99,"57,900",8,1999,죽전로 244
경기도 용인시 수지구 동천동,동천디이스트,84.911,"91,400",9,2007,동천로 64
경기도 용인시 수지구 신봉동,힐스테이트광교산,76.7243,"81,800",11,2022,신봉2로 154
전라남도 목포시 용해동,용해지구천년가맘스카운티,59.75,"21,500",10,2019,용해지구로88번길 7
전라남도 목포시 상동,주공2,38.64,"3,700",12,1992,상동로 43
전라남도 목포시 상동,비파3,49.8,"7,300",8,1993,백년대로337번길 9
경기도 용인시 수지구 성복동,버들치마을성복힐스테이트2차,126.489,"89,100",1,2010,성복1로164번길 13
경기도 용인시 수지구 성복동,푸른마을푸르지오,142.347,"113,000",10,2004,성복2로76번길 31
경기도 용인시 수지구 성복동,벽산첼시빌2차,191.754,"83,500",11,2002,성복1로 107
전라남도 목포시 연산동,목포용해2지구모아엘가에듀파크,59.9858,"20,000",7,2019,연산백련로1번길 69
충청남도 태안군 태안읍 삭선리,삼호(765-2),59.96,"6,500",3,1998,백교길 53-4
충청남도 태안군 태안읍 남문리,코아루3차,74.9689,"20,000",3,2020,서해로 1643
충청남도 태안군 태안읍 남문리,코아루3차,74.9689,"23,000",11,2020,서해로 1643
충청남도 예산군 덕산면 옥계리,태산,58.345,"6,900",10,1998,가야산로 43
충청남도 예산군 삽교읍 목리,내포신도시중흥S-클래스더시티,84.9642,"29,500",3,2024,청사로 250
충청남도 홍성군 홍북읍 신경리,엘에이치스타힐스,59.96,"15,900",17,2015,홍예로 213
경기도 파주시 금촌동,후곡마을4단지뜨란채주공,75.79,"29,000",9,2004,후곡로 50
경기도 파주시 금촌동,후곡마을4단지뜨란채주공,75.79,"29,000",2,2004,후곡로 50
경기도 파주시 야당동,한빛마을3단지아이파크,84.992,"34,800",7,2004,한빛로 11
충청남도 당진시 송산면 유곡리,당진엠코타운,84.9464,"16,000",16,2013,유곡로 20
충청남도 당진시 신평면 거산리,단일(C단지),56.97,"4,600",3,1994,거산3거리길 11-29
경기도 파주시 동패동,한울마을1단지운정신도시IPARK,59.99,"56,000",5,2020,심학산로 384
충청남도 당진시 송악읍 기지시리,당진푸르지오센트럴파크,74.9782,"27,500",13,2024,틀모시로 768-38
경기도 파주시 목동동,해솔마을1단지두산위브(647),84.981,"37,500",4,2010,해솔로 85
경기도 파주시 목동동,산내마을7단지화성파크드림,84.9977,"48,500",10,2020,청암로 50
경기도 파주시 목동동,산내마을7단지화성파크드림,74.9892,"48,000",3,2020,청암로 50
경기도 파주시 목동동,해솔마을2단지월드메르디앙(2-117),84.94,"30,000",6,2001,와석순환로 347
충청남도 당진시 수청동,당진센트레빌르네블루2차,84.9699,"38,900",10,2024,수청중앙로 86
경기도 파주시 와동동,가람마을7단지한라비발디,101.98,"50,000",6,2012,가람로116번길 130
충청남도 당진시 시곡동,우민늘사랑,54.6,"6,500",17,2007,서해로 6216
충청남도 당진시 원당동,당진원당리한라비발디,84.9386,"19,000",4,2009,원당로 51-10
경기도 이천시 창전동,청자국민주택,65.125,"9,500",5,1986,향교로31번길 3
충청남도 당진시 읍내동,당진2차푸르지오,84.8491,"28,000",19,2016,북문로 16
충청남도 계룡시 엄사면 엄사리,비사벌,59.92,"11,300",9,1995,번영3길 43
충청남도 논산시 부창동,주공,39.69,"5,000",1,1989,해월로 63-4
경기도 이천시 부발읍 응암리,주은다솜,35.768,"5,800",5,2001,경충대로1804번길 70
경기도 이천시 신둔면 수하리,신둔반석아르미,68.5782,"16,000",8,2008,원적로290번길 34
경기도 이천시 호법면 유산리,이천내안애,59.97,"14,500",10,2010,중부대로 909-28
경기도 이천시 호법면 유산리,이천내안애,59.97,"14,500",10,2010,중부대로 909-28
경기도 안성시 숭인동,안성우정에쉐르,118.889,"28,000",17,2006,혜산로 37-16
경상남도 김해시 관동동,팔판마을부영그린타운3차,59.9888,"12,000",3,2004,덕정로 68
충청남도 서산시 읍내동,부영,49.72,"7,300",7,1996,부춘1로 19
경기도 안성시 공도읍 용두리,주은풍림,49.77,"12,500",8,2002,서동대로 4079
충청남도 아산시 신창면 남성리,아산신창장미,39.67,"3,800",4,1994,서부북로 933-30
충청남도 아산시 신창면 읍내리,경희학성,29.51,"4,100",2,1996,순천향로 49
충청남도 아산시 음봉면 덕지리,초원그린타운,39.27,"4,500",10,1997,음봉로681번길 24
충청남도 아산시 탕정면 매곡리,한들물빛도시하늘채,59.89,"37,400",23,2022,한들물빛1로 8
경상남도 김해시 대청동,갑오마을2단지주공2,51.74,"11,800",3,2002,계동로102번길 9
경기도 김포시 운양동,한강신도시롯데캐슬,99.7509,"65,500",11,2014,김포한강11로 275
경기도 김포시 운양동,풍경마을래미안한강2차,84.98,"39,000",10,2014,김포한강11로 227
충청남도 아산시 탕정면 명암리,탕정삼성트라팰리스(1단지~3단지),107.04,"47,000",12,2009,탕정면로 37
충청남도 아산시 배방읍 휴대리,한성,39.97,"5,100",5,1999,휴대길 212
충청남도 아산시 배방읍 휴대리,한성,39.97,"5,100",5,1999,휴대길 212
경기도 김포시 장기동,고창마을(이지더원),84.4385,"45,000",7,2008,김포한강2로 178
경기도 김포시 장기동,수정마을(쌍용예가),84.65,"37,700",10,2011,김포한강2로 11
경기도 부천시 원미구 상동,하얀마을아이파크,134.703,"84,000",3,2002,조마루로 84
충청남도 아산시 배방읍 공수리,아산배방우방아이유쉘2차,61.7433,"26,980",14,2021,배방로 58-44
충청남도 아산시 배방읍 공수리,배방5차한성필하우스,84.9452,"39,000",16,2018,모산로 52
충청남도 아산시 배방읍 공수리,배방3차한성필하우스,59.994,"25,300",16,2017,모산로 51
경기도 부천시 원미구 상동,"한아름마을(삼환,동아,동성)",84.87,"53,700",12,1994,부흥로 100
충청남도 아산시 용화동,온천마을아파트,59.8,"12,500",13,1998,어의정로 46
경기도 김포시 풍무동,풍무푸르지오센트레빌,59.9935,"54,000",23,2016,유현로 200
경기도 김포시 고촌읍 신곡리,캐슬앤파밀리에시티 2단지,84.9582,"61,500",8,2020,수기로 136
충청남도 보령시 동대동,동대주공3단지,39.6,"5,200",4,1993,주공로 33
충청남도 공주시 신관동,주공3,39.3,"9,000",2,1990,신금1길 30-3
경기도 화성시 병점동,병점역우남퍼스트빌3차,83.7357,"26,000",10,2001,태안로 50
경기도 화성시 병점동,병점역센트럴허브시티,84.925,"40,500",6,2004,병점1로 65
충청남도 천안시 서북구 직산읍 모시리,동보호수마을,25.725,"2,300",1,1997,상덕로 32
충청남도 천안시 서북구 직산읍 모시리,동보호수마을,25.725,"2,500",5,1997,상덕로 32
충청남도 천안시 서북구 직산읍 모시리,동보호수마을,25.725,"2,500",4,1997,상덕로 32
경기도 화성시 반월동,신영통현대2차,101.85,"42,000",14,2002,영통로27번길 53
경기도 화성시 반정동,반정아이파크캐슬4단지,59.83,"60,000",13,2022,동탄지성로469번길 59
경기도 화성시 기안동,광도와이드빌,59.7118,"19,400",1,2002,효행로 229-11
경기도 화성시 기안동,기안마을풍성신미주,84.8008,"18,200",5,2004,융건로 99
경기도 화성시 안녕동,병점역성호플레르빌,84.9884,"26,000",7,2002,한신대길 67
충청남도 천안시 서북구 차암동,e편한세상스마일시티,51.99,"18,500",8,2015,스마일시티1로 55
충청남도 천안시 서북구 성성동,천안레이크타운3차푸르지오,84.9811,"57,000",35,2020,성성6로 68
충청남도 천안시 서북구 성성동,천안시티자이,59.9934,"37,200",14,2018,성성6로 21
경기도 화성시 청계동,시범반도유보라아이비파크4.0,96.7283,"114,200",35,2018,동탄대로시범길 134
경기도 화성시 청계동,시범반도유보라아이비파크4.0,96.7283,"114,200",35,2018,동탄대로시범길 134
충청남도 천안시 서북구 두정동,두정역효성해링턴플레이스,59.86,"30,000",12,2020,봉정로 324
경기도 화성시 영천동,동탄파크푸르지오,84.92,"56,900",7,2018,동탄대로24가길 7
