시군구,단지명,전용면적(㎡),거래금액(만원),층,건축년도,도로명
경기도 고양시 덕양구 행신동,행신3차SKVIEW,59.9368,"58,000",13,2009,행신로 131-11
충청북도 충주시 호암동,호암힐데스하임,99.8,"49,500",15,2019,호암토성2로 1
충청남도 천안시 서북구 성정동,주공5-2,39.69,"13,600",3,1988,성정로 75
경상북도 김천시 부곡동,부곡3주공아파트(및상가),42.9,"3,900",1,1995,문지왈길 68
충청남도 천안시 서북구 차암동,e편한세상스마일시티,72.99,"24,600",6,2015,스마일시티1로 55
경상남도 창원시 성산구 외동,에코센트럴빌,63.1884,"23,200",5,2013,창원대로780번길 41
경기도 구리시 인창동,e편한세상인창어반포레,59.992,"88,300",17,2021,건원대로33번길 9
충청남도 아산시 장존동,청솔,39.994,"4,600",15,2004,외암로 1247
경상북도 포항시 남구 해도동,명성제3광장,66.12,"3,800",5,1988,중앙로62번길 14
경기도 오산시 지곶동,e편한세상오산세교,59.9841,"29,500",25,2018,세마문학로 50
경상북도 구미시 원평동,프로그레스구미,84.9305,"35,190",5,2023,칠성로2길 11
경상북도 안동시 송현동,송현2주공,32.76,"7,000",5,1991,합전2길 12
전라남도 무안군 삼향읍 남악리,남악신도시아이파크,84.91,"20,800",6,2007,남악2로74번길 14
충청남도 서산시 예천동,서산푸르지오더센트럴,69.9383,"35,300",12,2023,예천3로 72
충청북도 청주시 흥덕구 문암동,청주테크노폴리스신영지웰푸르지오,59.9721,"40,500",8,2022,송화로 229
경기도 이천시 대월면 사동리,사동6현대,84.96,"17,000",2,1999,경충대로2050번길 70-50
경기도 하남시 망월동,미사역호반써밋,99.888,"124,500",12,2019,미사강변한강로 270
경상북도 칠곡군 약목면 관호리,삼주강변타운,50,"4,500",8,1993,관호8길 28-18
전라남도 순천시 해룡면 신대리,중흥에스-클래스5단지,84.9944,"31,900",15,2014,신대로 97
경상남도 김해시 무계동,e편한세상장유2차,59.9049,"26,800",15,2018,무계로 47
충청남도 천안시 동남구 청수동,청수행정타운금호어울림,72.8318,"27,700",1,2023,수도산공원길 1
경기도 광명시 하안동,주공5,45.77,"39,000",7,1990,가림로 38
전라남도 보성군 보성읍 보성리,보성센트럴뷰,84.8076,"25,500",16,2016,중앙로 49
경상남도 창원시 의창구 팔용동,힐스테이트아티움시티,84.8605,"50,600",11,2020,창원대로397번길 11
경상남도 김해시 봉황동,e편한세상봉황역,59.9612,"31,200",26,2017,김해대로2324번길 54-27
충청북도 청주시 흥덕구 복대동,신영지웰,84.787,"47,000",11,2009,진재로103번길 37
경상남도 김해시 삼계동,화정마을아이파크가야,84.965,"27,100",16,2004,해반천로168번길 23
전라남도 화순군 화순읍 대리,대성베르힐,84.9362,"26,000",22,2009,칠충로 61-28
충청남도 아산시 배방읍 장재리,천안아산역 리슈빌,74.32,"26,000",3,2010,장재로 27
충청남도 예산군 예산읍 발연리,예산우방유쉘,156.91,"32,500",11,2009,벚꽃로 175-17
충청북도 청주시 흥덕구 복대동,어울림,84.627,"37,500",14,2009,대신로74번길 21
충청북도 청주시 상당구 금천동,장자마을부영(312),84.9767,"24,500",6,2003,수영로 306
경상북도 김천시 신음동,현대1,59.969,"11,300",5,1996,시청로 46
경기도 고양시 덕양구 도내동,도래울센트럴더힐,74.74,"62,500",13,2015,도래울로 86
충청북도 청주시 흥덕구 옥산면 가락리,흥덕코오롱하늘채아파트,84.8642,"27,400",4,2016,가락길 60
경기도 화성시 청계동,동탄역시범호반써밋,84.9698,"96,300",29,2015,동탄대로시범길 122
경기도 화성시 병점동,병점역센트럴허브시티,84.925,"40,400",4,2004,병점1로 65
경상남도 창원시 진해구 장천동,진해장천대동다:숲,141.4063,"50,000",10,2007,행암로 25
경상남도 김해시 삼계동,화정마을부영2차,84.9814,"22,000",9,2002,삼계로 239
부산광역시 금정구 구서동,구서동롯데캐슬골드1단지(1051),110.72,"74,500",5,2006,금강로 502
대구광역시 중구 대신동,e편한세상대신,84.976,"52,500",13,2018,달구벌대로 1943
부산광역시 사하구 장림동,장림협진태양,48.69,"9,000",5,1989,두송로 32
서울특별시 강동구 천호동,아스하임,12.88,"17,000",11,2021,올림픽로 663
울산광역시 남구 삼산동,평창현대3차아파트,59.95,"35,700",13,1995,삼산중로128번길 21
부산광역시 사상구 엄궁동,엄궁2차한신,84.9,"20,200",10,1999,엄궁로 40
울산광역시 북구 매곡동,매곡현대아파트(101~106동),49.805,"8,000",15,1994,매곡1로 13
부산광역시 부산진구 초읍동,포레나부산초읍,39.1654,"22,500",2,2020,초연로 6
광주광역시 북구 용봉동,신동아,59.65,"13,900",2,1998,비엔날레로 112-5
부산광역시 영도구 남항동1가,퀸페로스,84.97,"29,000",8,2016,남항로31번길 15
대구광역시 서구 평리동,평리롯데캐슬,59.7243,"27,500",5,2009,국채보상로 316
부산광역시 부산진구 부암동,백양산서희스타힐스,84.9897,"47,400",17,2025,백양산로 22
광주광역시 북구 유동,금남로대광로제비앙,84.7468,"42,500",21,2022,서림로 153
울산광역시 북구 중산동,경동그린맨션,59.94,"5,000",12,1995,약수9길 16
울산광역시 북구 중산동,약수제일,59.97,"8,400",11,1992,약수9길 20
경기도 안양시 만안구 안양동,퍼스트힐,35.48,"15,000",5,2014,안양로170번길 6
부산광역시 서구 서대신동2가,서대신엔스타(278-2),23.43,"5,000",3,2013,대영로6번길 6
광주광역시 광산구 쌍암동,한양에드가303동,25.6308,"6,300",10,2013,임방울대로826번길 55
경기도 수원시 영통구 영통동,신나무실쌍용,59.965,"35,000",1,1997,매영로310번길 12
세종특별자치시  종촌동,가재마을5단지,59.9383,"42,000",15,2014,도움1로 105
울산광역시 중구 유곡동,우정혁신도시푸르지오,75.986,"45,600",1,2013,유곡로 80
부산광역시 사하구 구평동,e편한세상사하,84.9947,"35,000",21,2016,서포로30번길 26
광주광역시 광산구 월계동,서라,59.93,"17,300",1,1995,첨단내촌로 102
경기도 수원시 영통구 영통동,청명마을(주공),59.99,"46,000",17,1997,청명북로 81
대전광역시 서구 둔산동,샘머리2차,84.945,"43,500",15,1998,청사로 281
부산광역시 해운대구 좌동,두산1차아파트,59.94,"31,000",15,1996,양운로 182
광주광역시 북구 신용동,첨단2지구중흥에스-클래스,84.9976,"49,000",6,2015,첨단연신로 217
부산광역시 북구 화명동,도시화명그린(206),49.83,"9,500",12,1996,양달로 53
부산광역시 북구 화명동,삼한힐파크,84.994,"21,800",13,2003,화명대로 119
세종특별자치시  고운동,가락마을21단지(에듀포레),84.9757,"44,800",4,2015,마음안로 221
경기도 수원시 영통구 망포동,e편한세상영통2차(2단지),74.5822,"59,500",9,2016,봉영로 1432-36
경기도 성남시 수정구 창곡동,위례더힐55,147.7121,"158,000",5,2015,위례순환로 220
부산광역시 북구 화명동,롯데낙천대,59.445,"33,000",28,2002,화명신도시로 156
부산광역시 북구 화명동,삼한힐파크,84.994,"24,500",20,2003,화명대로 119
서울특별시 은평구 응암동,응암동금호,59.73,"57,500",14,1998,응암로 318
부산광역시 서구 암남동,송도동일스위트,71.225,"18,400",17,2006,성산길 47-17
부산광역시 동래구 안락동,에스케이쁘띠메종,84.77,"34,000",22,2000,삼어로 12
광주광역시 광산구 우산동,우산동중흥s-클래스리버티,84.9543,"35,000",2,2015,풍영철길로 20-20
대구광역시 북구 매천동,한신더휴이스턴팰리스,84.967,"40,000",9,2019,매전로4길 31
광주광역시 광산구 우산동,동산아파트,59.61,"9,250",12,1991,월곡산정로 20-49
광주광역시 북구 연제동,대주피오레,84.9996,"26,000",7,2006,양일로 70
부산광역시 동래구 낙민동,광림,74.88,"28,800",4,1984,낙민로 13
경기도 수원시 영통구 영통동,청명마을(주공),59.99,"46,000",17,1997,청명북로 81
경기도 수원시 영통구 영통동,영통센트럴파크뷰,59.99,"40,000",7,1999,영통로514번길 53
부산광역시 사하구 괴정동,힐스테이트사하역,84.9774,"54,000",2,2022,괴정로 166
부산광역시 북구 만덕동,이편한세상금정산,84.9144,"41,800",22,2021,상학로 36
인천광역시 부평구 부평동,우일(101동),39.9,"12,400",4,2002,장제로 108
광주광역시 광산구 월곡동,한성2차,84.24,"12,700",2,1991,월곡산정로 96-21
인천광역시 서구 연희동,중앙,24.7925,"8,000",8,1997,승학로 334
대구광역시 달성군 유가읍 봉리,하나리움퀸즈파크,59.8767,"15,800",23,2015,테크노북로 164
울산광역시 중구 유곡동,에일린의뜰3차,99.8419,"56,800",2,2014,종가로 245
서울특별시 중랑구 상봉동,"엘지,쌍용아파트",68.12,"59,000",4,1996,봉화산로 130
경기도 수원시 장안구 조원동,광교산임광그대가,59.6426,"46,500",17,2010,수일로 205
경기도 수원시 장안구 조원동,더샵광교산퍼스트파크,59.99,"59,900",5,2022,송정로 190
인천광역시 중구 중산동,인천영종한양수자인,59.2156,"28,500",3,2012,은하수로 377
광주광역시 광산구 산정동,태양,32.28,"5,350",9,1988,산정공원로71번길 27
인천광역시 중구 운남동,영종센트럴푸르지오자이,84.6872,"47,000",11,2019,은하수로 412
대전광역시 유성구 노은동,열매마을11단지(계룡리슈빌),59.992,"32,700",10,2003,왕가봉로 23
인천광역시 계양구 작전동,코오롱,53.055,"21,000",7,1989,봉오대로691번길 4
서울특별시 중랑구 상봉동,포시티,14.855,"10,200",15,2014,면목로 487
광주광역시 남구 서동,서동영무예다음,84.9373,"35,500",6,2017,제중로 111
광주광역시 서구 금호동,금호2지구도시공사,59.8,"15,700",15,1999,금화로115번길 23
대구광역시 달서구 본동,월성주공5,38.64,"6,800",14,1992,구마로12길 89
